A épület

Name 	Hosts   Needed 	Hosts   Available 	    Unused hosts   Network Address 	Slash 	Mask 	Usable Range 	Broadcast

1 	    27 	    30 	    3 	    192.168.1.0 	/27 	       255.255.255.224 	192.168.1.1 - 192.168.1.30 	    192.168.1.31
2 	    27 	    30 	    3 	    192.168.1.32 	/27 	       255.255.255.224 	192.168.1.33 - 192.168.1.62 	192.168.1.63
3 	    27 	    30 	    3 	    192.168.1.64 	/27 	       255.255.255.224 	192.168.1.65 - 192.168.1.94 	192.168.1.95
4 	    27 	    30 	    3 	    192.168.1.96 	/27 	       255.255.255.224 	192.168.1.97 - 192.168.1.126 	192.168.1.127
5 	    27 	    30 	    3 	    192.168.1.128 	/27 	       255.255.255.224 	192.168.1.129 - 192.168.1.158 	192.168.1.159
6 	    27 	    30 	    3 	    192.168.1.160 	/27 	       255.255.255.224 	192.168.1.161 - 192.168.1.190 	192.168.1.191
7 	    27 	    30  	3 	    192.168.1.192 	/27 	       255.255.255.224 	192.168.1.193 - 192.168.1.222 	192.168.1.223
8 	    27 	    30 	    3 	    192.168.1.224 	/27 	       255.255.255.224 	192.168.1.225 - 192.168.1.254 	192.168.1.255
9 	    27 	    30 	    3 	    192.168.2.0 	/27 	       255.255.255.224 	192.168.2.1 - 192.168.2.30 	    192.168.2.31
10 	    27 	    30 	    3 	    192.168.2.32 	/27 	       255.255.255.224 	192.168.2.33 - 192.168.2.62 	192.168.2.63

B épület
Subnet ID	Subnet Address	Host Address Range	Notation
1	fd00::	fd00:: - fd00:1f:ffff:ffff::	fd00::/27
2	fd00:0020::	fd00:20:: - fd00:3f:ffff:ffff::	fd00:20::/27
3	fd00:0040::	fd00:40:: - fd00:5f:ffff:ffff::	fd00:40::/27
4	fd00:0060::	fd00:60:: - fd00:7f:ffff:ffff::	fd00:60::/27
5	fd00:0080::	fd00:80:: - fd00:9f:ffff:ffff::	fd00:80::/27
6	fd00:00a0::	fd00:a0:: - fd00:bf:ffff:ffff::	fd00:a0::/27
7	fd00:00c0::	fd00:c0:: - fd00:df:ffff:ffff::	fd00:c0::/27
8	fd00:00e0::	fd00:e0:: - fd00:ff:ffff:ffff::	fd00:e0::/27
9	fd00:0100::	fd00:100:: - fd00:11f:ffff:ffff::	fd00:100::/27
10	fd00:0120::	fd00:120:: - fd00:13f:ffff:ffff::	fd00:120::/27
